instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingChurchID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingInstID,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿boi.id.0009,﻿church,[Unnamed Institution],English,,﻿on Grand Bend River,,,﻿Union County,﻿La Grande,,,,,,﻿boi.id.0003,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0010,﻿church,[Unnamed Institution],English,,﻿on Salem River,,,,﻿Florence,﻿Florence,,﻿ID,45.501111,-116.028333,﻿boi.id.0001,﻿attended from St. Thomas & St. Joseph,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0010,﻿church,[Unnamed Institution],English,,﻿on Salem River,,,,﻿Florence,﻿Florence,,,45.501111,-116.028333,﻿boi.id.0003,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0011,﻿church,[Unnamed Institution],English,,﻿on Salem River,,,,﻿Warren,﻿Warren,,﻿ID,45.264167,-115.676389,﻿boi.id.0001,﻿attended from St. Thomas & St. Joseph,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0011,﻿church,[Unnamed Institution],English,,﻿on Salem River,,,,﻿Warren,﻿Warren,,,45.264167,-115.676389,﻿boi.id.0003,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0072,﻿academy,﻿St. Mary's Academy,English,﻿for young ladies,,,,,﻿Portland,﻿Portland,﻿OR,,45.512531,-122.681274,,,,﻿St. Louis,﻿Rev. Mother,﻿Veronica,,﻿Superior,,﻿religious,﻿39 Sisters of the Holy Names of Jesus and Mary,﻿By the Sisters of the Holy Names of Jesus and Mary,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0073,﻿school,﻿City Parochial,English,﻿for little girls,,,,,﻿Portland,﻿Portland,﻿OR,,45.515232,-122.678385,,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0074,﻿academy,﻿St. Mary's Academy,English,,,,,,﻿Salem,﻿Salem,﻿OR,,45.512531,-122.681274,,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0075,﻿academy,﻿St. Mary's Academy,English,,,,,,﻿Dalles City,﻿The Dalles,﻿OR,,45.2125659,-122.9750977,,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0076,﻿academy,﻿St. Mary's Academy,English,,,,,,﻿St. Paul,﻿St. Paul,﻿OR,,45.212566,-122.975098,,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0077,﻿academy,﻿St. Mary's Academy,English,,,,,,﻿Oregon City,﻿Oregon City,﻿OR,,45.512531,-122.681274,,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0078,﻿academy,[Unnamed Institution],English,﻿for boys,,,,,﻿Portland,﻿Portland,﻿OR,,45.515232,-122.678385,,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
