instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sav.ga.0004,﻿church,[Unnamed Institution],English,,,,,,﻿Macon,﻿Macon,﻿GA,,32.840695,-83.632402,,﻿attended by James Graham,﻿two or three times a year,﻿jam_graham_901,﻿Rev.,﻿James Graham,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9003,﻿church,[Unnamed Institution],English,,,﻿Western Counties,,,,,﻿GA,,32.998611,-83.555556,,﻿attended by James Graham,,﻿jam_graham_901,﻿Rev.,﻿James Graham,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0010,﻿church,﻿Purification of the BVM,English,,,,﻿Warren County,﻿Henry County,﻿Locust Grove,﻿Locust Grove,﻿GA,﻿GA,33.542523,-82.776687,,,,﻿pet_whelan_901,﻿Rev.,﻿Peter Whelan,,,,,,,,1838,,,﻿https://www.hrcga.org/church/locust-grove-catholic/,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0032,﻿station,[Unnamed Institution],English,,,,,,﻿Abbeville,,﻿SC,,,,,﻿visited by Rev. Peter Whelan,﻿two or three times a year,﻿pet_whelan_901,﻿Rev.,﻿Peter Whelan,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9001,﻿station,[Unnamed Institution],English,,,,,,﻿Louisville,,﻿GA,,33.004167,-82.404722,,﻿visited by Rev. Peter Whelan,﻿two or three times a year,﻿pet_whelan_901,﻿Rev.,﻿Peter Whelan,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0012,﻿church,[Unnamed Institution],English,,,,,,﻿Sparta,,﻿GA,,33.283333,-82.966667,,﻿visited by Rev. Peter Whelan,﻿two or three times a year,﻿pet_whelan_901,﻿Rev.,﻿Peter Whelan,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0016,﻿church,[Unnamed Institution],English,,,,,,﻿Milledgeville,,﻿GA,,32.492222,-84.940278,,﻿visited by Rev. Peter Whelan,﻿two or three times a year,﻿pet_whelan_901,﻿Rev.,﻿Peter Whelan,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9000,﻿seminary,﻿Seminary of St. John the Baptist,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.784247,-79.936828,,,,﻿ric_s_baker_001,﻿Rev.,﻿Richard S. Baker,,,,﻿student,﻿7 students,,,1838,﻿https://en.wikipedia.org/wiki/Charleston_Female_Seminary ; https://discovering.charleston.edu/files/show/107,"﻿Classics, Mathematics, Arithmetic, English, &c.",,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9018,﻿school,﻿Day School,English,﻿for boys,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,,,,,,,,,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9005,﻿school,﻿Day School,English,﻿for boys,,,,,﻿Augusta,,﻿GA,,33.6,-83.866667,,,,,,,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0038,﻿convent,[Unnamed Institution],English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,,,,,,﻿magdalen_barclay_sav.ga_901,﻿Sister,﻿Magdalen Barclay,,,,﻿boarder,﻿15 boarders,﻿conducted by the Sisters of Our Lady of Mercy,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0038,﻿convent,[Unnamed Institution],English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,,,,,,,,,,,,﻿student,﻿50 day scholars,﻿conducted by the Sisters of Our Lady of Mercy,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9009,﻿convent,﻿Ursuline Convent,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,,,,,,﻿m_c_moloney_cha.sc_901,﻿Rev. Mother,﻿Mary Charles Moloney,,﻿Superior,,﻿boarder,﻿4 boarders,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9009,﻿convent,﻿Ursuline Convent,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,,,,,,﻿m_b_mccarthy_cha.sc_901,﻿Rev. Mother,﻿Mary Borgia McCarthy,,﻿Assistant,,﻿student,﻿22 day scholars,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9019,﻿asylum,[Unnamed Institution],English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,,,,,,,,,,,,,,﻿Sisters of Mercy,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9020,﻿asylum,﻿Asylum for Aged and Infirm Clergymen,English,,,,,,,,,,,,,,,,,,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
