instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,notes,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿phi.pa.9003,﻿academy,﻿Academy for Young Gentlemen,English,﻿S. Fourth street,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.945923,-75.14856,,,,﻿jer_keiley_901,﻿Rev.,﻿Jeremiah Keily,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.9004,﻿academy,﻿Academy for Young Gentlemen,English,﻿S. Thirteenth street,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.951133,-75.160899,,,,﻿joh_hughes_901,﻿Rev.,﻿John Hughes,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿wil.de.9000,﻿academy,﻿Young Ladies' Academy,English,,,,,,﻿Wilmington,,﻿DE,,39.804167,-77.019167,,,,,,,,,,,,﻿Sisters of Charity,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.9005,﻿convent,﻿St. Clare's Convent,English,,,,,,﻿Pittsburg,,﻿PA,,40.461667,-78.203889,,,,,,,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0255,﻿asylum,﻿St. Joseph's Asylum,English,,,,,,﻿Philadelphia,,﻿PA,,39.94542,-75.153649,,,,,,,,,,﻿religious,﻿5 sisters,﻿Sisters of Charity,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004_92,﻿asylum,﻿St. John's Asylum,English,,,,,,﻿Philadelphia,,﻿PA,,39.95127,-75.161381,,,,,,,,,,﻿religious,﻿7 sisters,﻿Sisters of Charity,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004_93,﻿day school,﻿St. John's Day School,English,,,,,,﻿Philadelphia,,﻿PA,,39.95127,-75.161381,,,,,,,,,,﻿religious,﻿5 sisters,﻿Sisters of Charity,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.9005,﻿school,﻿Sacred Heart School,English,,,,,,﻿Philadelphia,,﻿PA,,40.054579,-74.986458,,,,,,,,,,﻿religious,﻿4 sisters,﻿Sisters of Charity,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005_92,﻿school,﻿St. Mary's Free School,English,,,,,,﻿Philadelphia,,﻿PA,,39.945643,-75.148563,,,,,,,,,,﻿religious,﻿3 sisters,﻿Sisters of Charity,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0010_02,﻿school,﻿St. Michael's Free School,English,,,,,,﻿Philadelphia,,﻿PA,,39.973891,-75.13849,,,,,,,,,,﻿religious,﻿3 sisters,﻿Sisters of Charity,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿wil.de.0001_01,﻿asylum,﻿St. Peter's Asylum,English,,,,,,﻿Wilmington,,﻿DE,,39.744655,-75.548391,,,,,,,,,,﻿religious,﻿3 sisters,﻿Sisters of Charity,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿wil.de.0001_02,﻿day school,﻿St. Peter's Day School,English,,,,,,﻿Wilmington,,﻿DE,,39.744655,-75.548391,,,,,,,,,,﻿religious,﻿4 sisters,﻿Sisters of Charity,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿har.pa.9000,﻿school,﻿St. John's Baptist,English,,﻿McSherrystown,,,,﻿Conewago,,﻿PA,,39.804167,-77.019167,,,,,,,,,,﻿religious,﻿2 sisters,﻿Sisters of Charity,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
