instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,Unnamed: 33,Unnamed: 34,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.236908,-85.763639,,,,﻿steinsmidt_901,﻿Rev. Mr.,﻿Steinsmidt,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0059,﻿church,[Unnamed Institution],English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,﻿KY,37.682563,-87.921595,,,,﻿eli_j_durbin_001,﻿Rev.,﻿Elisha J. Durbin,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0063,﻿church,[Unnamed Institution],English,,,,,,﻿New Haven,,﻿KY,,37.6603098,-85.5909759,,﻿[visited] every second Sunday [by] Rev. A. A. Aud.,,﻿a_a_aud_001,﻿Rev.,﻿A. A. Aud.,,,,,,,,1838,,﻿https://stcatherinenewhaven.org/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0065,﻿church,[Unnamed Institution],English,,,,,﻿Daviess County,﻿Owensboro,,﻿KY,﻿KY,37.769766,-87.1159126,,,,﻿joh_wathen_901,﻿Rev.,﻿J. C. Wathen,,,,,,,,1838,,﻿https://ststephencathedral.org/about/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0048,﻿church,﻿St. Charles,English,,,,,﻿Marion County,,﻿Loretto,﻿KY,﻿KY,37.672859,-85.447846,,,,﻿lew_petit_901,﻿Rev.,﻿Lewis Petit,,,,,,,,1838,,﻿http://sfahc.com/holy-cross,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0056,﻿church,﻿St. Pius' Church,English,,,,﻿Scott County,,﻿Frankfort,,﻿KY,,38.207553,-84.697121,,,,﻿j_a_drew_901,﻿Rev.,﻿J. A. Drew,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0091,﻿church,﻿St. Thomas' Church,English,,,,,,,﻿Bardstown,﻿KY,﻿KY,37.766597,-85.484015,,,,﻿a_a_aud_001,﻿Rev.,﻿A. A. Aud.,,,,,,,,1838,,﻿https://www.saintthomasbardstown.org/ ; https://ia801606.us.archive.org/13/items/historicaltribut00howl/historicaltribut00howl.pdf,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0102,﻿church,[Unnamed Institution],English,,,,﻿Spencer County,﻿Spencer County,,﻿Taylorsville,﻿KY,﻿KY,38.033019,-85.344677,,,,﻿jam_elliott_001,﻿Rev.,﻿J. Elliott,,,﻿of Fairfield,,,,,1838,,﻿https://www.allsaintstville.org/history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿nash.tn.9000,﻿church,[Unnamed Institution],English,,,,,,﻿Nashville,,﻿TN,,36.166521,-86.783958,,,﻿visited semi-annually by Rev.  E. J. Durbin,﻿eli_j_durbin_001,﻿rev.,﻿E. J. Durbin,,,"﻿dwelling at Morganfield, KY",,,,,1838,,"﻿https://www.hmdb.org/m.asp?m=36240 ; https://en.wikipedia.org/wiki/Cathedral_of_the_Incarnation_(Nashville,_Tennessee)",,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0106,﻿seminary,﻿St. Thomas' Diocesan Seminary,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.766944,-85.483333,,,,﻿wal_s_coomes_001,﻿Rev.,﻿Walter S. Coomes,,﻿President,,﻿student,﻿20 students,,,1838,,﻿https://en.wikipedia.org/wiki/St._Thomas_Church_and_Howard%E2%80%93Flaget_House,"﻿Reading, Writing, Arithmetic, English Grammar, Geography, Book-keeping, Surveying, Mathematics, Latin, Greek and French","﻿Reading, Writing, Arithmetic, English Grammar, Geography, Book-keeping, Surveying, Mathematics, Latin, Greek and French",﻿by the Right Rev. Bishop of Bardstown in 1811,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,﻿KY,37.693185,-85.262389,,,,﻿jos_t_jarboe_001,﻿Rev.,﻿J. T. Jarboe,,﻿Prior,﻿the Noviceship for the country is kept here,﻿religious,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
